timestamp_utc,category,action,step,status,backend,dry_run,joint,servo_id,enabled,reason,error,details_json
2026-05-16T14:57:50.630113Z,servo_scan_dry_run,servo_scan_start,,,mock,true,,not evidenced,,,,"{""action"":""servo_scan_start"",""backend"":""mock"",""dry_run"":true,""ids"":[1,2,3],""timestamp_utc"":""2026-05-16T14:57:50.630113Z""}"
2026-05-16T14:57:50.630472Z,servo_scan_dry_run,servo_ping,,ok,mock,true,,1,,,,"{""action"":""servo_ping"",""backend"":""mock"",""dry_run"":true,""present"":false,""servo_id"":1,""status"":""ok"",""timestamp_utc"":""2026-05-16T14:57:50.630472Z""}"
2026-05-16T14:57:50.630657Z,servo_scan_dry_run,servo_ping,,ok,mock,true,,2,,,,"{""action"":""servo_ping"",""backend"":""mock"",""dry_run"":true,""present"":true,""servo_id"":2,""status"":""ok"",""timestamp_utc"":""2026-05-16T14:57:50.630657Z""}"
2026-05-16T14:57:50.630821Z,servo_scan_dry_run,servo_ping,,ok,mock,true,,3,,,,"{""action"":""servo_ping"",""backend"":""mock"",""dry_run"":true,""present"":false,""servo_id"":3,""status"":""ok"",""timestamp_utc"":""2026-05-16T14:57:50.630821Z""}"
2026-05-16T14:57:50.630968Z,servo_scan_dry_run,servo_scan_complete,,,mock,true,,not evidenced,,,,"{""action"":""servo_scan_complete"",""backend"":""mock"",""dry_run"":true,""found_ids"":[2],""scanned_count"":3,""timestamp_utc"":""2026-05-16T14:57:50.630968Z""}"
2026-05-16T14:57:50.912442Z,read_positions_dry_run,servo_position_read_start,,,mock,true,,not evidenced,,,,"{""action"":""servo_position_read_start"",""backend"":""mock"",""dry_run"":true,""ids"":[1,2,3],""timestamp_utc"":""2026-05-16T14:57:50.912442Z""}"
2026-05-16T14:57:50.912735Z,read_positions_dry_run,servo_read_position,,ok,mock,true,,1,,,,"{""action"":""servo_read_position"",""backend"":""mock"",""dry_run"":true,""position"":null,""servo_id"":1,""status"":""ok"",""timestamp_utc"":""2026-05-16T14:57:50.912735Z""}"
2026-05-16T14:57:50.912917Z,read_positions_dry_run,servo_read_position,,ok,mock,true,,2,,,,"{""action"":""servo_read_position"",""backend"":""mock"",""dry_run"":true,""position"":null,""servo_id"":2,""status"":""ok"",""timestamp_utc"":""2026-05-16T14:57:50.912917Z""}"
2026-05-16T14:57:50.913078Z,read_positions_dry_run,servo_read_position,,ok,mock,true,,3,,,,"{""action"":""servo_read_position"",""backend"":""mock"",""dry_run"":true,""position"":null,""servo_id"":3,""status"":""ok"",""timestamp_utc"":""2026-05-16T14:57:50.913078Z""}"
2026-05-16T14:57:50.913225Z,read_positions_dry_run,servo_position_read_complete,,,mock,true,,not evidenced,,,,"{""action"":""servo_position_read_complete"",""backend"":""mock"",""dry_run"":true,""positions"":{""1"":null,""2"":null,""3"":null},""timestamp_utc"":""2026-05-16T14:57:50.913225Z""}"
2026-05-17T04:05:04.024859Z,read_positions_dry_run,servo_position_read_start,,,mock,true,,not evidenced,,,,"{""action"":""servo_position_read_start"",""backend"":""mock"",""dry_run"":true,""ids"":[1,2,3,4,5,6],""timestamp_utc"":""2026-05-17T04:05:04.024859Z""}"
2026-05-17T04:05:04.025193Z,read_positions_dry_run,servo_read_position,,ok,mock,true,,1,,,,"{""action"":""servo_read_position"",""backend"":""mock"",""dry_run"":true,""position"":null,""servo_id"":1,""status"":""ok"",""timestamp_utc"":""2026-05-17T04:05:04.025193Z""}"
2026-05-17T04:05:04.025387Z,read_positions_dry_run,servo_read_position,,ok,mock,true,,2,,,,"{""action"":""servo_read_position"",""backend"":""mock"",""dry_run"":true,""position"":null,""servo_id"":2,""status"":""ok"",""timestamp_utc"":""2026-05-17T04:05:04.025387Z""}"
